,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,22,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091
1,2008,26,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
2,3014,33,0.14285714285714285,0.5,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142
3,4017,39,0.2222222222222222,0.5,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555
4,5022,42,0.21052631578947367,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
5,6028,43,0.2631578947368421,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
6,7033,44,0.2777777777777778,0.5,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
7,8038,46,0.3157894736842105,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
8,9044,48,0.2777777777777778,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555
9,10049,50,0.3157894736842105,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
10,11086,52,0.3333333333333333,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555
11,12134,55,0.3157894736842105,0.47368421052631576,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
12,13180,57,0.3684210526315789,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
13,14230,57,0.4,0.4,0.05,0.05,0.05,0.05
14,15276,58,0.45,0.35,0.05,0.05,0.05,0.05
15,16323,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
16,17375,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
17,18426,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
18,19478,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
19,20525,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
20,21574,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
21,22622,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
22,23673,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
23,24718,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
24,25768,60,0.42857142857142855,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
25,26775,63,0.35,0.45,0.05,0.05,0.05,0.05
26,27805,63,0.3,0.5,0.05,0.05,0.05,0.05
27,28835,64,0.25,0.55,0.05,0.05,0.05,0.05
28,29863,64,0.25,0.55,0.05,0.05,0.05,0.05
29,30894,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
30,31923,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
31,32950,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
32,33976,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
33,35002,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
34,36029,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
35,37056,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
36,38067,65,0.23809523809523808,0.5714285714285714,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
37,39092,68,0.2608695652173913,0.5652173913043478,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
38,40122,68,0.30434782608695654,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
39,41150,68,0.30434782608695654,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
40,42178,68,0.30434782608695654,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
41,43205,69,0.30434782608695654,0.4782608695652174,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
42,44231,69,0.30434782608695654,0.4782608695652174,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
43,45260,69,0.30434782608695654,0.4782608695652174,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
44,46288,70,0.3333333333333333,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
45,47315,70,0.3333333333333333,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
46,48344,70,0.3333333333333333,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
47,49370,70,0.3333333333333333,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
48,50397,70,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
49,51426,70,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
50,52451,70,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
51,53480,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
52,54506,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
53,55538,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
54,56568,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
55,57597,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
56,58620,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
57,59649,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
58,60679,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
59,61704,71,0.2916666666666667,0.5,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
60,62750,72,0.44,0.4,0.04,0.04,0.04,0.04
61,63766,72,0.4,0.4,0.04,0.04,0.04,0.08
62,64778,72,0.4,0.44,0.04,0.04,0.04,0.04
63,65793,74,0.4166666666666667,0.4166666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
64,66810,74,0.4166666666666667,0.4166666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
65,67827,74,0.4166666666666667,0.4166666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
66,68840,76,0.375,0.4583333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
67,69852,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
68,70866,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
69,71885,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
70,72900,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
71,73916,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
72,74931,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
73,75948,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
74,76961,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
75,77976,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
76,78991,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
77,80007,77,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
78,81022,78,0.4583333333333333,0.375,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
79,82038,78,0.4583333333333333,0.375,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
80,83052,78,0.4583333333333333,0.375,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
81,84067,78,0.4583333333333333,0.375,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
82,85082,81,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
83,86097,81,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
84,87114,82,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
85,88128,82,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
86,89144,82,0.4230769230769231,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
87,90159,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
88,91172,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
89,92190,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
90,93203,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
91,94219,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
92,95233,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
93,96251,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
94,97268,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
95,98282,83,0.4444444444444444,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
96,99319,86,0.38461538461538464,0.46153846153846156,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
97,100078,86,0.4166666666666667,0.4166666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
