,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,105,0.125,0.16666666666666666,0.041666666666666664,0.5416666666666666,0.041666666666666664,0.08333333333333333
1,2011,149,0.5483870967741935,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.03225806451612903,0.03225806451612903
2,3013,259,0.6666666666666666,0.09259259259259259,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.1111111111111111
3,4015,371,0.8166666666666667,0.05,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.016666666666666666
4,5019,480,0.7111111111111111,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.022222222222222223
5,6023,561,0.8307692307692308,0.03076923076923077,0.07692307692307693,0.03076923076923077,0.015384615384615385,0.015384615384615385
6,7028,636,0.8305084745762712,0.05084745762711865,0.05084745762711865,0.03389830508474576,0.01694915254237288,0.01694915254237288
7,8033,692,0.8461538461538461,0.046153846153846156,0.046153846153846156,0.03076923076923077,0.015384615384615385,0.015384615384615385
8,9038,759,0.8888888888888888,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.013888888888888888,0.027777777777777776
9,10042,827,0.8831168831168831,0.012987012987012988,0.03896103896103896,0.025974025974025976,0.012987012987012988,0.025974025974025976
10,11168,879,0.8823529411764706,0.011764705882352941,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.058823529411764705
11,12370,942,0.8666666666666667,0.013333333333333334,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.05333333333333334
12,13571,998,0.8777777777777778,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.06666666666666667
13,14773,1073,0.8645833333333334,0.03125,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.052083333333333336
14,15976,1127,0.9090909090909091,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.022727272727272728
15,17177,1179,0.9148936170212766,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.010638297872340425,0.010638297872340425
16,18377,1236,0.9191919191919192,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.010101010101010102,0.010101010101010102
17,19578,1287,0.9038461538461539,0.028846153846153848,0.028846153846153848,0.019230769230769232,0.009615384615384616,0.009615384615384616
18,20780,1330,0.9065420560747663,0.028037383177570093,0.028037383177570093,0.018691588785046728,0.009345794392523364,0.009345794392523364
19,21982,1383,0.9099099099099099,0.018018018018018018,0.02702702702702703,0.018018018018018018,0.009009009009009009,0.018018018018018018
20,23183,1431,0.8761061946902655,0.035398230088495575,0.04424778761061947,0.017699115044247787,0.008849557522123894,0.017699115044247787
