,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1002,117,0.2962962962962963,0.07407407407407407,0.07407407407407407,0.48148148148148145,0.037037037037037035,0.037037037037037035
1,2009,209,0.7073170731707317,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.04878048780487805
2,3016,286,0.6304347826086957,0.043478260869565216,0.10869565217391304,0.10869565217391304,0.021739130434782608,0.08695652173913043
3,4020,375,0.6122448979591837,0.10204081632653061,0.16326530612244897,0.04081632653061224,0.02040816326530612,0.061224489795918366
4,5024,477,0.7592592592592593,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.037037037037037035
5,6029,555,0.8113207547169812,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.05660377358490566
6,7035,632,0.8333333333333334,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.05555555555555555
7,8041,704,0.859375,0.03125,0.015625,0.03125,0.015625,0.046875
8,9044,755,0.8695652173913043,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.043478260869565216
9,10047,807,0.8985507246376812,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.028985507246376812
10,11304,871,0.8974358974358975,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.01282051282051282,0.02564102564102564
11,12361,943,0.8837209302325582,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.046511627906976744
12,13419,1013,0.9047619047619048,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.0380952380952381
13,14477,1082,0.9259259259259259,0.009259259259259259,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.018518518518518517
14,15535,1146,0.9338842975206612,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.008264462809917356,0.01652892561983471
15,16593,1205,0.9380530973451328,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.008849557522123894
16,17650,1268,0.918918918918919,0.018018018018018018,0.02702702702702703,0.018018018018018018,0.009009009009009009,0.009009009009009009
17,18708,1327,0.918918918918919,0.018018018018018018,0.02702702702702703,0.018018018018018018,0.009009009009009009,0.009009009009009009
18,19765,1395,0.9401709401709402,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.008547008547008548
19,20823,1448,0.943089430894309,0.008130081300813009,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.008130081300813009
20,21879,1498,0.9421487603305785,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.008264462809917356,0.008264462809917356
21,22937,1552,0.953125,0.0078125,0.0078125,0.015625,0.0078125,0.0078125
22,23994,1602,0.9492753623188406,0.007246376811594203,0.014492753623188406,0.014492753623188406,0.007246376811594203,0.007246376811594203
23,25053,1655,0.9496402877697842,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547
24,26111,1696,0.9538461538461539,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.007692307692307693
25,27167,1725,0.9538461538461539,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.007692307692307693
26,28224,1763,0.9562043795620438,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.0072992700729927005,0.0072992700729927005
27,29281,1798,0.9583333333333334,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.006944444444444444,0.006944444444444444
