policy_id,robustness_score,n_scenarios,n_satisficing,mean_fraction_above_threshold,mean_zaf_abatement_burden,mean_zaf_damage_fraction,mean_zaf_net_output_ratio,mean_welfare,mean_welfare_loss_damage,mean_welfare_loss_abatement,mean_global_abatement_burden,mean_total_welfare_loss
0,0.0,1000,0,1.0,50.65733395329576,0.3128577667534831,-50.02225983046725,734.4936461181638,222.4362402017137,18769.993687976978,2769.9046806061465,18992.42992817869
2,0.0,1000,0,1.0,1326.201188352747,0.3685224800875337,-1325.69000711361,1010.7478604736913,179.46379805555145,13084.059078411225,109155.55149216305,13263.522876466775
5,0.0,1000,0,1.0,1384.790461541224,0.38624914189643855,-1384.374886980843,1081.534527946015,194.89891633436875,11027.91556886406,3295046.004099046,11222.814485198429
10,0.0,1000,0,1.0,20542.71649991377,0.4053490863936788,-20542.337149481264,1354.6543472488554,226.64204318817139,12276.762951252693,192101.32472867751,12503.404994440863
9,0.0,1000,0,1.0,25162.739890016823,0.3964919002331684,-25162.363845434455,1270.8176573921824,222.22888670016877,11097.110016827068,2260754.2521489104,11319.338903527236
4,0.0,1000,0,1.0,83743.50667366988,0.38420119474560305,-83743.0958023555,1030.5062459493631,189.69695634702668,11231.712860563539,1335817.329669311,11421.409816910565
8,0.0,1000,0,1.0,92792.80362861643,0.39737801301209363,-92792.42034095613,1274.688160541956,213.1701655772846,11089.29091333428,2323515.527648747,11302.461078911565
7,0.0,1000,0,1.0,152896.7301875606,0.3954102122611683,-152896.34289491514,1267.684098397714,210.167824433445,11204.866996201203,1439290.5839597874,11415.034820634648
1,0.0,1000,0,1.0,418708.3369784227,0.3545013513747309,-418707.7925057126,875.5843927785305,167.89255138350597,11057.22156688684,2954457.674699519,11225.114118270345
3,0.0,1000,0,1.0,472474.7129677744,0.37512031168695786,-472474.2665775688,1019.6487505991611,184.8761813986416,11068.270096396163,2487504.3162253043,11253.146277794805
6,0.0,1000,0,1.0,541575.2136963733,0.394088811640614,-541574.8026290413,1229.0876743597842,204.29380298962252,11142.48535691401,2267800.7259052945,11346.779159903634
