selected_policy_id,selected_label,source_welfare,selection_type,n_scenarios,mean_zaf_total_burden,worst_zaf_total_burden,mean_zaf_abatement_burden,worst_zaf_abatement_burden,mean_zaf_damage_burden,worst_zaf_damage_burden,mean_fraction_above_threshold,worst_fraction_above_threshold,mean_temp_2100,worst_temp_2100,mean_welfare,table_status
0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,8,0.030409255074160684,0.1669154537492831,0.00856733380795677,0.14518729220695184,0.021841921266203913,0.07685450742759103,0.65,0.9333333333333333,2.1408847315355493,3.004776338124014,-432.1952638901587,scenario_reevaluated
1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,8,0.03465074426909596,0.16541198013891717,0.011906271431532191,0.14585871012523566,0.022744472837563763,0.08632197269003306,0.6583333333333333,0.9333333333333333,2.1599110132223,3.1524411190325337,-432.2208401283467,scenario_reevaluated
2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,8,0.030677632307436344,0.1643463492758151,0.008471894856228868,0.14256948151631185,0.022205737451207474,0.07762782774963037,0.6833333333333333,0.9333333333333333,2.1544152040207973,3.0348458424048426,-432.22416550699575,scenario_reevaluated
3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,8,0.06960803512080818,0.2684073605806868,4.3587794656869816e-07,8.212015451312984e-06,0.06960759924286161,0.2684052218246497,0.9666666666666667,1.0,3.267617121787632,4.9854638301372045,-435.3957871815623,scenario_reevaluated
4,P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,8,0.059933311971852136,0.23429808426057266,0.0006405707965666758,0.007031174342542278,0.05929274117528546,0.23428880008861347,0.9666666666666667,1.0,2.9902701534551035,4.547856608198219,-434.4597637293871,scenario_reevaluated
5,P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,8,0.06830221783815188,0.27199144272733355,1.869821803855582e-06,6.943344531424838e-05,0.06830034801634803,0.2719914307240142,0.9666666666666667,1.0,3.2125488585213624,4.921149497438904,-435.2702635386729,scenario_reevaluated
6,P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,8,0.04733489841575195,0.1699982298550336,0.012354633094207524,0.15400635809751426,0.034980265321544426,0.13422097467702704,0.7666666666666667,1.0,2.322602903599531,3.400704529025994,-432.7425117885449,scenario_reevaluated
7,P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,8,0.047705625846334865,0.1752119518298233,0.01301798675664864,0.15727954643578868,0.034687639089686216,0.1285502496695852,0.7666666666666667,1.0,2.3135875774884576,3.3686763117187013,-432.74606025804195,scenario_reevaluated
8,P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,8,0.03465923675052848,0.12653389977095583,0.00042832035772514426,0.011667609091362776,0.03423091639280334,0.12651099641936045,0.7666666666666667,1.0,2.319642594472997,3.3991992397519235,-432.6639944435223,scenario_reevaluated
