label,selected_policy_id,selected_label,source_welfare,selection_type,scenario,n_ensembles,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_mean_consumption_per_capita_all_years,zaf_ecr_mean_end,global_temp_mean_2100,global_temp_p95_2100,fraction_above_threshold_2100,mean_years_above_threshold,evaluated_welfare,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_consumption_pc_2050,zaf_ecr_2050,global_temp_mean_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_consumption_pc_2100,zaf_ecr_2100
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,15,0.0041931874061794305,0.09404990318025602,0.014680270919300444,0.0531139542549107,0.01887345832547988,0.11669892702922222,62.410473704218006,0.9267034155018768,1.7641166750893749,2.0437937247047206,0.2,76.93333333333334,-398.60873801475793,0.032816891336572604,0.013652545288528018,0.04646943662510063,20.82782934152383,0.7372540912308803,1.6686755641816784,0.0025461901980365466,0.013756775740178787,0.016302965938215334,50.22254932396784,0.8415614430655278
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,15,0.004178579124040069,0.07560249751526751,0.014702423935034748,0.05283653487705374,0.018881003059074815,0.09732417454798686,62.409628016089165,0.9290988735703812,1.7762694209212255,2.0466071113417055,0.26666666666666666,77.6,-398.61035807006704,0.03191950617787329,0.013814815490696299,0.04573432166856959,20.848374060830835,0.7385585374629763,1.6773979724379124,0.0026022990090606595,0.014019435591765465,0.016621734600826124,50.19737639882518,0.8492587373862298
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,15,0.007301172976031272,0.10880413801520263,0.018987565326236668,0.05570191844426571,0.026288738302267935,0.12994013064468513,64.82133500174749,0.9839625201074821,2.0865626096275096,2.379460427182211,0.6666666666666666,137.4,-411.5552150705096,0.047206941104719034,0.015860675898677335,0.06306761700339637,16.38215365224121,0.7869425719829458,1.7759797293099353,0.006033264089406341,0.020955757841962897,0.026989021931369237,45.48633510718536,0.9625559578205404
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,15,0.010407565493777741,0.13835530407942226,0.03042156476030451,0.07685450742759103,0.04082913025408225,0.1599601727932536,25.039859901742837,0.9848351238077561,2.4220477557018856,2.6733171381174357,0.9333333333333333,228.53333333333333,-492.9912369744644,0.05376413067570749,0.015561500816724638,0.06932563149243212,11.617588241481412,0.7703156344716546,1.7643380398772357,0.01121096283732657,0.028380153848799508,0.03959111668612609,21.679879734503345,0.9848351238077561
P0_PRIORITARIAN_best_welfare_within_frame__scenario_4,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,4,15,0.009425856062362428,0.12817264161788228,0.022451544991872904,0.06473756240782932,0.03187740105423533,0.14799961054619426,65.61708438904326,0.9828506610490523,2.177073203548349,2.4491297558377485,0.8666666666666667,171.86666666666667,-498.83079668127743,0.048036822300339906,0.014718581745429511,0.06275540404576943,16.148429396612443,0.7425905233099985,1.7256004188428236,0.010804955681960911,0.02294973083022988,0.03375468651219079,44.56280695637724,0.9664934314144975
P0_PRIORITARIAN_best_welfare_within_frame__scenario_5,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,5,15,0.010833582837009224,0.14518729220695184,0.024096563808739598,0.0664827885227071,0.03493014664574882,0.1669154537492831,65.3981963506326,0.9825330235370533,2.281133119351869,2.5650798447647927,0.8666666666666667,188.06666666666666,-499.3194867537917,0.06098678725742907,0.01603599715064577,0.07702278440807485,15.872856319965253,0.7841457583611938,1.7859927862654323,0.01107742441763135,0.025333351972455474,0.03641077639008682,44.341042713064276,0.9748187731829036
P0_PRIORITARIAN_best_welfare_within_frame__scenario_6,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,6,15,0.010998494021788673,0.13481264758301376,0.01943416469344445,0.05770293396372501,0.03043265871523312,0.15177567608782289,121.67677410847004,0.985884338172519,2.006083639617166,2.301198130041364,0.4666666666666667,141.0,-378.57004163114607,0.08497964419560483,0.02038662882238701,0.10536627301799185,23.503191816369227,0.875061093856544,1.9790412441364256,0.008188319962830754,0.01920079574481177,0.027389115707642523,79.47487725689727,0.9621759437286779
P0_PRIORITARIAN_best_welfare_within_frame__scenario_7,0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,7,15,0.011200232542465337,0.1347677952777463,0.02996127169469798,0.06990361336065222,0.04116150423716332,0.15082205336154944,119.44178451765524,0.9717063783986017,2.6137914284270134,3.004776338124014,0.9333333333333333,217.2,-379.0762379252551,0.08518104865236034,0.020675152790478362,0.10585620144283871,23.489349485798826,0.875493419724475,1.9983460001793028,0.008431851294930254,0.03291696071952925,0.041348812014459495,77.92782158674919,0.9717063783986017
P1_PRIORITARIAN_best_welfare_within_frame__scenario_0,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,15,0.007883313204337866,0.09758155820912755,0.01477431458353488,0.05292857604238313,0.022657627787872746,0.12022235650295088,62.24401683243398,0.9701387618855164,1.773343712494752,2.0424919836059403,0.2,76.46666666666667,-398.6190803226966,0.07686770335563767,0.013740704821940876,0.09060840817757855,19.68044843462263,0.928540664841052,1.672991441333189,0.0037290395098382354,0.013959859492540609,0.01768889900237884,50.03190885290375,0.9567413474746158
P1_PRIORITARIAN_best_welfare_within_frame__scenario_1,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,15,0.007927202308934457,0.09767711884360673,0.014775561392593894,0.05262212081437956,0.022702763701528354,0.11892753301464029,62.24392970223219,0.9698224891389109,1.7840126575180897,2.0491992182482193,0.26666666666666666,77.06666666666666,-398.6194644978009,0.07738191133052558,0.013908063224837912,0.09128997455536347,19.665452181722845,0.9299099542818904,1.6819339601779426,0.0037441012444598336,0.014190413324654117,0.017934514569113953,50.01193941871778,0.9575685948787259
