selected_label,source_welfare,selection_type,scenario,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_ecr_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_ecr_2100
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,0.0041931874061794305,0.09404990318025602,0.014680270919300444,0.0531139542549107,0.01887345832547988,0.11669892702922222,0.032816891336572604,0.013652545288528018,0.04646943662510063,0.7372540912308803,0.0025461901980365466,0.013756775740178787,0.016302965938215334,0.8415614430655278
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,0.004178579124040069,0.07560249751526751,0.014702423935034748,0.05283653487705374,0.018881003059074815,0.09732417454798686,0.03191950617787329,0.013814815490696299,0.04573432166856959,0.7385585374629763,0.0026022990090606595,0.014019435591765465,0.016621734600826124,0.8492587373862298
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,0.007301172976031272,0.10880413801520263,0.018987565326236668,0.05570191844426571,0.026288738302267935,0.12994013064468513,0.047206941104719034,0.015860675898677335,0.06306761700339637,0.7869425719829458,0.006033264089406341,0.020955757841962897,0.026989021931369237,0.9625559578205404
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,0.010407565493777741,0.13835530407942226,0.03042156476030451,0.07685450742759103,0.04082913025408225,0.1599601727932536,0.05376413067570749,0.015561500816724638,0.06932563149243212,0.7703156344716546,0.01121096283732657,0.028380153848799508,0.03959111668612609,0.9848351238077561
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,4,0.009425856062362428,0.12817264161788228,0.022451544991872904,0.06473756240782932,0.03187740105423533,0.14799961054619426,0.048036822300339906,0.014718581745429511,0.06275540404576943,0.7425905233099985,0.010804955681960911,0.02294973083022988,0.03375468651219079,0.9664934314144975
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,5,0.010833582837009224,0.14518729220695184,0.024096563808739598,0.0664827885227071,0.03493014664574882,0.1669154537492831,0.06098678725742907,0.01603599715064577,0.07702278440807485,0.7841457583611938,0.01107742441763135,0.025333351972455474,0.03641077639008682,0.9748187731829036
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,6,0.010998494021788673,0.13481264758301376,0.01943416469344445,0.05770293396372501,0.03043265871523312,0.15177567608782289,0.08497964419560483,0.02038662882238701,0.10536627301799185,0.875061093856544,0.008188319962830754,0.01920079574481177,0.027389115707642523,0.9621759437286779
P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,7,0.011200232542465337,0.1347677952777463,0.02996127169469798,0.06990361336065222,0.04116150423716332,0.15082205336154944,0.08518104865236034,0.020675152790478362,0.10585620144283871,0.875493419724475,0.008431851294930254,0.03291696071952925,0.041348812014459495,0.9717063783986017
P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,0.007883313204337866,0.09758155820912755,0.01477431458353488,0.05292857604238313,0.022657627787872746,0.12022235650295088,0.07686770335563767,0.013740704821940876,0.09060840817757855,0.928540664841052,0.0037290395098382354,0.013959859492540609,0.01768889900237884,0.9567413474746158
P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,0.007927202308934457,0.09767711884360673,0.014775561392593894,0.05262212081437956,0.022702763701528354,0.11892753301464029,0.07738191133052558,0.013908063224837912,0.09128997455536347,0.9299099542818904,0.0037441012444598336,0.014190413324654117,0.017934514569113953,0.9575685948787259
