label,selected_label,source_welfare,selection_type,scenario,region,mean_abatement_burden,mean_damage_burden,mean_total_burden,worst_total_burden,ecr_end,abatement_burden_2050,damage_burden_2050,total_burden_2050,ecr_2050,abatement_burden_2100,damage_burden_2100,total_burden_2100,ecr_2100
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,zaf,0.0041931874061794305,0.014680270919300444,0.01887345832547988,0.11669892702922222,0.9267034155018768,0.032816891336572604,0.013652545288528018,0.04646943662510063,0.7372540912308803,0.0025461901980365466,0.013756775740178787,0.016302965938215334,0.8415614430655278
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,usa,0.008167429881940916,0.010247314209027168,0.018414744090968084,0.09603319091131227,0.9979674316349804,0.05250364624788482,0.010876985550244866,0.06338063179812968,0.9895125741809085,0.013604509650498222,0.009734535308229465,0.023339044958727687,0.9977410286213865
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,gbr,0.0050657482519310465,0.004416274451616325,0.009482022703547373,0.03992990359846349,0.9805333604095133,0.024621841639377254,0.004733457457713973,0.029355299097091225,0.9143653207912941,0.009350142288794694,0.004345807244179793,0.013695949532974483,0.9530929662084403
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,fra,0.005793264561466923,0.006931536030135656,0.012724800591602579,0.04794499611860443,0.9858559374282246,0.02335995543854617,0.007329943344333203,0.03068989878287937,0.9327182649140365,0.012410053512957793,0.006692130396079019,0.01910218390903681,0.964224029417635
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,rfa,0.014290001127777832,0.004274006663537898,0.01856400779131573,0.11138321417071201,0.9755176542157451,0.07072400300345362,0.005382993099947588,0.07610699610340119,0.8986364410952657,0.028919503427855507,0.004263913285032032,0.03318341671288754,0.9426079153438814
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,pol,0.004832991798782683,0.004133053560117133,0.008966045358899815,0.060733091911358,0.9682101462827636,0.02220510136732415,0.0058662585958087305,0.028071359963132883,0.868280529395241,0.009358118943647872,0.004141019488173616,0.013499138431821486,0.9230859673941576
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,chn,0.003897922611605166,0.00898265434586084,0.012880576957466005,0.061242012565939995,0.9897467010145132,0.03557415983775424,0.009126754040286948,0.04470091387804118,0.9729799357112826,0.0033230887128803586,0.008572799666713466,0.011895888379593825,0.9854720816744038
P0_PRIORITARIAN_best_welfare_within_frame__scenario_0,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,rus,0.008167072595466915,-0.0025663512182281774,0.005600721377238738,0.12491778633954573,0.9833073164072687,0.04913930502599244,0.002258374798326555,0.051397679824319,0.941938958593573,0.014114727411241226,-0.0021087903644102174,0.012005937046831004,0.9676846891726325
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,zaf,0.004178579124040069,0.014702423935034748,0.018881003059074815,0.09732417454798686,0.9290988735703812,0.03191950617787329,0.013814815490696299,0.04573432166856959,0.7385585374629763,0.0026022990090606595,0.014019435591765465,0.016621734600826124,0.8492587373862298
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,usa,0.008168534677581898,0.010263581626882779,0.018432116304464674,0.0958764004609063,0.9979625256129022,0.05245393780245878,0.010984918778833697,0.06343885658129249,0.9893004934624078,0.013606772434273379,0.00993292028840424,0.02353969272267762,0.9977593351146132
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,gbr,0.00508966794742852,0.004423753925779507,0.009513421873208028,0.03857799874845005,0.9800880754880942,0.024718541464298676,0.004786577204179862,0.029505118668478544,0.9155880026737033,0.009386835791968232,0.004438453740774496,0.01382528953274273,0.954430159684677
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,fra,0.00581834958410738,0.0069428530369782145,0.01276120262108559,0.047709215157942825,0.9855294526410574,0.023432137169522343,0.0074081753467575,0.030840312516279837,0.9336615322286712,0.012453590118177666,0.006831014098858884,0.01928460421703655,0.9653423257062101
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,rfa,0.014349475647513937,0.004281655950762458,0.018631131598276396,0.10615449913844481,0.9750552588379102,0.07065319723076584,0.005430266668504719,0.07608346389927058,0.8987690893837652,0.02902847582745704,0.00436155470026634,0.03339003052772338,0.9439536401809512
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,pol,0.004849967467389058,0.004140687002269269,0.008990654469658329,0.06034065125842207,0.9679044497375477,0.02217412264807071,0.005907149435065797,0.028081272083136502,0.8686541909398786,0.009401491470320222,0.004240595858401385,0.013642087328721608,0.9251411301224686
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,chn,0.003900418230780521,0.008996908619449672,0.012897326850230192,0.06114378671683596,0.9896165186230768,0.03558029305173312,0.009226678268259628,0.04480697131999274,0.9730443002936938,0.0033244933007366183,0.008745766713816047,0.012070260014552664,0.9855529095655539
P0_PRIORITARIAN_best_welfare_within_frame__scenario_1,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,rus,0.00819272340929764,-0.002568111097313855,0.005624612311983785,0.12464390473073125,0.9829726902407624,0.04918021055030156,0.0022039948736497384,0.05138420542395129,0.9421601599628089,0.014149992710946893,-0.002110998134470489,0.012038994576476404,0.9683443976346202
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,zaf,0.007301172976031272,0.018987565326236668,0.026288738302267935,0.12994013064468513,0.9839625201074821,0.047206941104719034,0.015860675898677335,0.06306761700339637,0.7869425719829458,0.006033264089406341,0.020955757841962897,0.026989021931369237,0.9625559578205404
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,usa,0.01865735256047185,0.013538665045977479,0.03219601760644933,0.13245550056821012,0.9977822285052697,0.0824400677072624,0.012538314747751942,0.09497838245501433,0.9880149856804812,0.0411400766097824,0.015201478055007015,0.05634155466478942,0.9977026111269313
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,gbr,0.006162976226814896,0.0059749018450479035,0.012137878071862802,0.0400933771918357,0.9932137906588828,0.026140195660578198,0.005510597682034322,0.03165079334261252,0.9321548155626054,0.011257574813564227,0.0069320502685262025,0.018189625082090433,0.9886108051525379
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,fra,0.0067751370627170465,0.009250286365610821,0.016025423428327867,0.04997994199449666,0.9963560231293928,0.024398238465216757,0.008494268198077486,0.032892506663294234,0.9465618094080503,0.014043648244436291,0.010543173933504856,0.024586822177941146,0.9926812502998231
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,rfa,0.016566012540762887,0.005931972291174874,0.022497984831937764,0.11076136801279471,0.9912355258806597,0.07729553725246754,0.006198288008836524,0.08349382526130406,0.9206332820194366,0.03468978890006004,0.006998250997055456,0.04168803989711549,0.9856525267159828
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,pol,0.0102209785810933,0.005831092521032834,0.016052071102126135,0.07341213485391523,0.9907071693419608,0.03317592537734901,0.006694687857026486,0.03987061323437549,0.8948801999204492,0.023525232148299734,0.006930075176940377,0.030455307325240107,0.9820363498260654
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,chn,0.012188167665878888,0.011852882311583447,0.024041049977462335,0.10446168577818289,0.9911481314584293,0.07668080667656368,0.010577845454995667,0.08725865213155934,0.9742681277121072,0.0199845349739527,0.01334868242956506,0.033333217403517766,0.990022180667649
P0_PRIORITARIAN_best_welfare_within_frame__scenario_2,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,rus,0.016625030527187758,-0.0025115465606287204,0.014113483966559037,0.15217991746289053,0.9904634027702925,0.07299206546320242,0.0022189784777188006,0.07521104394092124,0.9511291284263886,0.035970961361721156,-0.0021060807294429602,0.03386488063227819,0.9876855626196018
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,zaf,0.010407565493777741,0.03042156476030451,0.04082913025408225,0.1599601727932536,0.9848351238077561,0.05376413067570749,0.015561500816724638,0.06932563149243212,0.7703156344716546,0.01121096283732657,0.028380153848799508,0.03959111668612609,0.9848351238077561
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,usa,0.02589644021035387,0.022519806600019784,0.04841624681037366,0.14802184283525505,0.9972383712217127,0.09634412013350693,0.012302238793716325,0.10864635892722325,0.9871920208751183,0.060682414966036165,0.020964225942072146,0.08164664090810829,0.9972383712217127
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,gbr,0.010928355963703673,0.01030067575923376,0.021229031722937435,0.05174965616502633,0.993247792250429,0.03448021867132756,0.005401583033156821,0.03988180170448438,0.9244095939584995,0.023021661014315794,0.009682973678420081,0.03270463469273588,0.993247792250429
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,fra,0.012667238642214949,0.015622352515541532,0.02828959115775648,0.06713786587379611,0.996521582282319,0.032397941864634454,0.008330367551014429,0.04072830941564889,0.940993916985119,0.02897009918621004,0.014616031372352388,0.043586130558562426,0.996521582282319
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,rfa,0.029865231922552842,0.010650887439671974,0.04051611936222482,0.14863025223923626,0.9915694197901584,0.10015953485253222,0.006077472763644711,0.10623700761617695,0.9106096114655483,0.07385285022628359,0.009969994802301357,0.08382284502858495,0.9915694197901584
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,pol,0.020113077082016793,0.010743180863486853,0.030856257945503642,0.10337540694230145,0.9912004225947714,0.0427037131711295,0.006566618575217202,0.04927033174634669,0.8841502113535561,0.05006697731601241,0.010006519930891997,0.0600734972469044,0.9912004225947714
P0_PRIORITARIAN_best_welfare_within_frame__scenario_3,P0_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,chn,0.02248129290051139,0.019653064255275764,0.04213435715578715,0.13795382985298957,0.9907799074449969,0.10848887941042151,0.010375709527978678,0.1188645889384002,0.9725567941254383,0.046174922669676814,0.01835967075355417,0.06453459342323097,0.9907799074449969
