policy,outcome,parameter_1,parameter_2,S2,S2_conf
moderate_abatement,welfare,rho,eta,-0.05794409116748955,16.418538768727526
moderate_abatement,welfare,rho,delta,0.1058269533551078,15.211667187933754
moderate_abatement,welfare,rho,ecs_ensemble,0.10642547614733279,15.203468104309596
moderate_abatement,welfare,eta,delta,-1.472975186791702,32.296100050547366
moderate_abatement,welfare,eta,ecs_ensemble,-1.465802606253674,32.23868480605516
moderate_abatement,welfare,delta,ecs_ensemble,0.0006714505593797115,0.05488706557456451
moderate_abatement,years_above_temperature_threshold,rho,eta,0.0,0.0
moderate_abatement,years_above_temperature_threshold,rho,delta,0.0,0.0
moderate_abatement,years_above_temperature_threshold,rho,ecs_ensemble,0.0,3.2070102590671527e-16
moderate_abatement,years_above_temperature_threshold,eta,delta,0.0,0.0
moderate_abatement,years_above_temperature_threshold,eta,ecs_ensemble,0.0,3.2070102590671527e-16
moderate_abatement,years_above_temperature_threshold,delta,ecs_ensemble,0.0,3.2070102590671527e-16
moderate_abatement,global_temperature_2100,rho,eta,0.0,0.0
moderate_abatement,global_temperature_2100,rho,delta,1.0842021724855044e-17,1.6140311741034687e-17
moderate_abatement,global_temperature_2100,rho,ecs_ensemble,-2.220446049250313e-16,6.013144235750912e-16
moderate_abatement,global_temperature_2100,eta,delta,1.0842021724855044e-17,1.6140311741034687e-17
moderate_abatement,global_temperature_2100,eta,ecs_ensemble,-2.220446049250313e-16,6.013144235750912e-16
moderate_abatement,global_temperature_2100,delta,ecs_ensemble,0.0019769779272251764,0.0015671260411394155
moderate_abatement,max_global_temperature,rho,eta,0.0,0.0
moderate_abatement,max_global_temperature,rho,delta,3.642919299551295e-17,7.747106732958715e-16
moderate_abatement,max_global_temperature,rho,ecs_ensemble,0.0,0.0
moderate_abatement,max_global_temperature,eta,delta,3.642919299551295e-17,7.747106732958715e-16
moderate_abatement,max_global_temperature,eta,ecs_ensemble,0.0,0.0
moderate_abatement,max_global_temperature,delta,ecs_ensemble,0.013848987165770765,0.19691829040007852
moderate_abatement,welfare_loss_damage,rho,eta,-0.13237969271158634,0.2758626493949096
moderate_abatement,welfare_loss_damage,rho,delta,0.24262607953880047,0.11093787851424478
moderate_abatement,welfare_loss_damage,rho,ecs_ensemble,0.2408399485908956,0.11495446730842186
moderate_abatement,welfare_loss_damage,eta,delta,-0.21254567769921737,0.36277952038218386
moderate_abatement,welfare_loss_damage,eta,ecs_ensemble,0.2517894181311573,1.1745284059473222
moderate_abatement,welfare_loss_damage,delta,ecs_ensemble,-0.0022647329505971203,0.002764383447199953
moderate_abatement,welfare_loss_abatement,rho,eta,0.12498074976155087,0.4702585298895087
moderate_abatement,welfare_loss_abatement,rho,delta,0.1960663244027415,1.2296253028183248
moderate_abatement,welfare_loss_abatement,rho,ecs_ensemble,0.1960663244027415,1.2296253028183248
moderate_abatement,welfare_loss_abatement,eta,delta,2.0901211378689672,2.1271081303262656
moderate_abatement,welfare_loss_abatement,eta,ecs_ensemble,2.0901211378689672,2.1271081303262656
moderate_abatement,welfare_loss_abatement,delta,ecs_ensemble,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,rho,delta,2.7755575615628914e-17,2.100505925166574e-17
moderate_abatement,zaf_mean_abatement_burden,rho,ecs_ensemble,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,eta,delta,2.7755575615628914e-17,2.100505925166574e-17
moderate_abatement,zaf_mean_abatement_burden,eta,ecs_ensemble,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,delta,ecs_ensemble,0.13115219823321955,149.50309584543817
moderate_abatement,zaf_mean_damage_fraction,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_damage_fraction,rho,delta,-8.326672684688674e-17,6.560878244051414e-17
moderate_abatement,zaf_mean_damage_fraction,rho,ecs_ensemble,-2.220446049250313e-16,1.7495675317470436e-16
moderate_abatement,zaf_mean_damage_fraction,eta,delta,-8.326672684688674e-17,6.560878244051414e-17
moderate_abatement,zaf_mean_damage_fraction,eta,ecs_ensemble,-2.220446049250313e-16,1.7495675317470436e-16
moderate_abatement,zaf_mean_damage_fraction,delta,ecs_ensemble,-0.09173641880985084,7513.092017141763
moderate_abatement,zaf_mean_net_output_ratio,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_net_output_ratio,rho,delta,5.551115123125783e-17,4.7963764474747555e-17
moderate_abatement,zaf_mean_net_output_ratio,rho,ecs_ensemble,-2.220446049250313e-16,2.4749302468969744e-14
moderate_abatement,zaf_mean_net_output_ratio,eta,delta,5.551115123125783e-17,4.7963764474747555e-17
moderate_abatement,zaf_mean_net_output_ratio,eta,ecs_ensemble,-2.220446049250313e-16,2.4749302468969744e-14
moderate_abatement,zaf_mean_net_output_ratio,delta,ecs_ensemble,-0.09172863459895497,8244.826636605845
