0,welfare,years_above_temperature_threshold,fraction_above_threshold,global_temperature_2100,max_global_temperature,welfare_loss_damage,welfare_loss_abatement,zaf_mean_abatement_burden,zaf_mean_damage_fraction,zaf_mean_net_output_ratio
delta,0.16758014667557458,0.14615046023477646,0.0,0.15859263402802415,0.24030737706904703,0.1035858809849727,0.22764552909868846,0.17447522853112504,0.17187335449087918,0.14055502804941178
ecs_ensemble,0.17468591381181253,0.560106147328716,0.0,0.5145949763894049,0.4026456425126489,0.10280587647703449,0.14458955340989627,0.5242303341494042,0.6325226426225707,0.6602929332463106
eta,0.39996137918208147,0.12021766381890148,0.0,0.11613664644230416,0.10509467080125007,0.689361070306449,0.40855055053845873,0.12614031742790102,0.0901532183114872,0.0956300702793906
rho,0.2577725603305315,0.17352572861760598,0.0,0.21067574314026694,0.251952309617054,0.10424717223154376,0.2192143669529566,0.17515411989156962,0.10545078457506285,0.103521968424887
