,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,130,0.23809523809523808,0.16666666666666666,0.14285714285714285,0.40476190476190477,0.023809523809523808,0.023809523809523808
1,2010,205,0.3023255813953488,0.3488372093023256,0.09302325581395349,0.20930232558139536,0.023255813953488372,0.023255813953488372
2,3016,292,0.46875,0.390625,0.015625,0.09375,0.015625,0.015625
3,4022,368,0.5238095238095238,0.3492063492063492,0.015873015873015872,0.06349206349206349,0.015873015873015872,0.031746031746031744
4,5027,434,0.532258064516129,0.3709677419354839,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.016129032258064516
5,6032,497,0.5535714285714286,0.3392857142857143,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.017857142857142856
6,7037,558,0.7096774193548387,0.1774193548387097,0.03225806451612903,0.04838709677419355,0.016129032258064516,0.016129032258064516
7,8043,631,0.7246376811594203,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.014492753623188406,0.014492753623188406
8,9048,706,0.7971014492753623,0.11594202898550725,0.014492753623188406,0.043478260869565216,0.014492753623188406,0.014492753623188406
9,10054,800,0.8181818181818182,0.1038961038961039,0.012987012987012988,0.03896103896103896,0.012987012987012988,0.012987012987012988
10,11120,838,0.8461538461538461,0.07692307692307693,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.01282051282051282
11,12258,902,0.8518518518518519,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.024691358024691357
12,13396,974,0.9130434782608695,0.021739130434782608,0.010869565217391304,0.03260869565217391,0.010869565217391304,0.010869565217391304
13,14535,1057,0.8857142857142857,0.047619047619047616,0.009523809523809525,0.02857142857142857,0.009523809523809525,0.01904761904761905
14,15674,1145,0.9274193548387096,0.016129032258064516,0.008064516129032258,0.024193548387096774,0.008064516129032258,0.016129032258064516
15,16813,1223,0.9191919191919192,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.010101010101010102,0.010101010101010102
16,17951,1296,0.8932038834951457,0.009708737864077669,0.04854368932038835,0.02912621359223301,0.009708737864077669,0.009708737864077669
17,19089,1367,0.8899082568807339,0.01834862385321101,0.045871559633027525,0.027522935779816515,0.009174311926605505,0.009174311926605505
18,20226,1415,0.875,0.028846153846153848,0.04807692307692308,0.028846153846153848,0.009615384615384616,0.009615384615384616
19,21365,1476,0.9191919191919192,0.020202020202020204,0.010101010101010102,0.030303030303030304,0.010101010101010102,0.010101010101010102
20,22502,1527,0.9313725490196079,0.00980392156862745,0.00980392156862745,0.029411764705882353,0.00980392156862745,0.00980392156862745
21,23641,1586,0.9279279279279279,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.009009009009009009,0.018018018018018018
22,24779,1651,0.9307692307692308,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.007692307692307693,0.015384615384615385
23,25916,1712,0.9285714285714286,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.007936507936507936,0.023809523809523808
24,27053,1776,0.9312977099236641,0.007633587786259542,0.007633587786259542,0.022900763358778626,0.007633587786259542,0.022900763358778626
25,28190,1833,0.9411764705882353,0.007352941176470588,0.007352941176470588,0.022058823529411766,0.007352941176470588,0.014705882352941176
26,29326,1893,0.9395973154362416,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.020134228187919462
27,30464,1951,0.9363057324840764,0.006369426751592357,0.012738853503184714,0.01910828025477707,0.006369426751592357,0.01910828025477707
