0,welfare,years_above_temperature_threshold,fraction_above_threshold,global_temperature_2100,max_global_temperature,welfare_loss_damage,welfare_loss_abatement,zaf_mean_abatement_burden,zaf_mean_damage_fraction,zaf_mean_net_output_ratio
delta,0.18985269964552892,0.2384133096778777,0.24546104507789263,0.23244056452289544,0.2437321994281331,0.1956203855499991,0.17971924726635727,0.6987662233219136,0.6853670982269011,0.6778361744182827
ecs_ensemble,0.2028831138854232,0.2966163604436481,0.28375150654316605,0.2953202735298621,0.29871760319433655,0.1640808089541321,0.21969494746842494,0.11587521712506996,0.1184327851275546,0.1258824035951627
eta,0.34904071273793075,0.2331099678024592,0.23687552552444577,0.2371376554560926,0.22705734057361898,0.398081856061389,0.31903758908306107,0.089482006823111,0.09613485318340338,0.0970310914366004
rho,0.25822347373111715,0.23186036207601496,0.2339119228544956,0.23510150649114972,0.23049285680391132,0.2422169494344797,0.2815482161821567,0.09587655272990549,0.10006526346214091,0.09925033054995412
