policy,parameter,outcome,importance
moderate_abatement,delta,welfare,0.18985269964552892
moderate_abatement,delta,years_above_temperature_threshold,0.2384133096778777
moderate_abatement,delta,fraction_above_threshold,0.24546104507789263
moderate_abatement,delta,global_temperature_2100,0.23244056452289544
moderate_abatement,delta,max_global_temperature,0.2437321994281331
moderate_abatement,delta,welfare_loss_damage,0.1956203855499991
moderate_abatement,delta,welfare_loss_abatement,0.17971924726635727
moderate_abatement,delta,zaf_mean_abatement_burden,0.6987662233219136
moderate_abatement,delta,zaf_mean_damage_fraction,0.6853670982269011
moderate_abatement,delta,zaf_mean_net_output_ratio,0.6778361744182827
moderate_abatement,ecs_ensemble,welfare,0.2028831138854232
moderate_abatement,ecs_ensemble,years_above_temperature_threshold,0.2966163604436481
moderate_abatement,ecs_ensemble,fraction_above_threshold,0.28375150654316605
moderate_abatement,ecs_ensemble,global_temperature_2100,0.2953202735298621
moderate_abatement,ecs_ensemble,max_global_temperature,0.29871760319433655
moderate_abatement,ecs_ensemble,welfare_loss_damage,0.1640808089541321
moderate_abatement,ecs_ensemble,welfare_loss_abatement,0.21969494746842494
moderate_abatement,ecs_ensemble,zaf_mean_abatement_burden,0.11587521712506996
moderate_abatement,ecs_ensemble,zaf_mean_damage_fraction,0.1184327851275546
moderate_abatement,ecs_ensemble,zaf_mean_net_output_ratio,0.1258824035951627
moderate_abatement,eta,welfare,0.34904071273793075
moderate_abatement,eta,years_above_temperature_threshold,0.2331099678024592
moderate_abatement,eta,fraction_above_threshold,0.23687552552444577
moderate_abatement,eta,global_temperature_2100,0.2371376554560926
moderate_abatement,eta,max_global_temperature,0.22705734057361898
moderate_abatement,eta,welfare_loss_damage,0.398081856061389
moderate_abatement,eta,welfare_loss_abatement,0.31903758908306107
moderate_abatement,eta,zaf_mean_abatement_burden,0.089482006823111
moderate_abatement,eta,zaf_mean_damage_fraction,0.09613485318340338
moderate_abatement,eta,zaf_mean_net_output_ratio,0.0970310914366004
moderate_abatement,rho,welfare,0.25822347373111715
moderate_abatement,rho,years_above_temperature_threshold,0.23186036207601496
moderate_abatement,rho,fraction_above_threshold,0.2339119228544956
moderate_abatement,rho,global_temperature_2100,0.23510150649114972
moderate_abatement,rho,max_global_temperature,0.23049285680391132
moderate_abatement,rho,welfare_loss_damage,0.2422169494344797
moderate_abatement,rho,welfare_loss_abatement,0.2815482161821567
moderate_abatement,rho,zaf_mean_abatement_burden,0.09587655272990549
moderate_abatement,rho,zaf_mean_damage_fraction,0.10006526346214091
moderate_abatement,rho,zaf_mean_net_output_ratio,0.09925033054995412
