rho,eta,delta,ecs_ensemble,ecr_plateau,scenario,policy,model
0.022276665377430616,0.7814359674230218,1.7634718120098114,897.8243070980534,0.4,0,moderate_abatement,JUSTICE_GSA
0.020840649741701783,0.7814359674230218,1.7634718120098114,897.8243070980534,0.4,1,moderate_abatement,JUSTICE_GSA
0.022276665377430616,0.9910548664629459,1.7634718120098114,897.8243070980534,0.4,2,moderate_abatement,JUSTICE_GSA
0.022276665377430616,0.7814359674230218,1.6980930273421109,897.8243070980534,0.4,3,moderate_abatement,JUSTICE_GSA
0.022276665377430616,0.7814359674230218,1.7634718120098114,285.21322060842067,0.4,4,moderate_abatement,JUSTICE_GSA
0.022276665377430616,0.9910548664629459,1.6980930273421109,285.21322060842067,0.4,5,moderate_abatement,JUSTICE_GSA
0.020840649741701783,0.7814359674230218,1.6980930273421109,285.21322060842067,0.4,6,moderate_abatement,JUSTICE_GSA
0.020840649741701783,0.9910548664629459,1.7634718120098114,285.21322060842067,0.4,7,moderate_abatement,JUSTICE_GSA
0.020840649741701783,0.9910548664629459,1.6980930273421109,897.8243070980534,0.4,8,moderate_abatement,JUSTICE_GSA
0.020840649741701783,0.9910548664629459,1.6980930273421109,285.21322060842067,0.4,9,moderate_abatement,JUSTICE_GSA
0.010438235422596333,1.083647676743567,1.1415835204534233,172.95737673901021,0.4,10,moderate_abatement,JUSTICE_GSA
0.004447768962010741,1.083647676743567,1.1415835204534233,172.95737673901021,0.4,11,moderate_abatement,JUSTICE_GSA
0.010438235422596333,1.3842795407399535,1.1415835204534233,172.95737673901021,0.4,12,moderate_abatement,JUSTICE_GSA
0.010438235422596333,1.083647676743567,1.0952375889755785,172.95737673901021,0.4,13,moderate_abatement,JUSTICE_GSA
0.010438235422596333,1.083647676743567,1.1415835204534233,883.7698131231591,0.4,14,moderate_abatement,JUSTICE_GSA
0.010438235422596333,1.3842795407399535,1.0952375889755785,883.7698131231591,0.4,15,moderate_abatement,JUSTICE_GSA
0.004447768962010741,1.083647676743567,1.0952375889755785,883.7698131231591,0.4,16,moderate_abatement,JUSTICE_GSA
0.004447768962010741,1.3842795407399535,1.1415835204534233,883.7698131231591,0.4,17,moderate_abatement,JUSTICE_GSA
0.004447768962010741,1.3842795407399535,1.0952375889755785,172.95737673901021,0.4,18,moderate_abatement,JUSTICE_GSA
0.004447768962010741,1.3842795407399535,1.0952375889755785,883.7698131231591,0.4,19,moderate_abatement,JUSTICE_GSA
0.0014723499249666928,0.6292413426563144,1.2793705365620553,539.5584778953344,0.4,20,moderate_abatement,JUSTICE_GSA
0.012322123716585337,0.6292413426563144,1.2793705365620553,539.5584778953344,0.4,21,moderate_abatement,JUSTICE_GSA
0.0014723499249666928,1.2093215137720108,1.2793705365620553,539.5584778953344,0.4,22,moderate_abatement,JUSTICE_GSA
0.0014723499249666928,0.6292413426563144,1.3269920833408833,539.5584778953344,0.4,23,moderate_abatement,JUSTICE_GSA
0.0014723499249666928,0.6292413426563144,1.2793705365620553,510.3789371121675,0.4,24,moderate_abatement,JUSTICE_GSA
0.0014723499249666928,1.2093215137720108,1.3269920833408833,510.3789371121675,0.4,25,moderate_abatement,JUSTICE_GSA
0.012322123716585337,0.6292413426563144,1.3269920833408833,510.3789371121675,0.4,26,moderate_abatement,JUSTICE_GSA
0.012322123716585337,1.2093215137720108,1.2793705365620553,510.3789371121675,0.4,27,moderate_abatement,JUSTICE_GSA
0.012322123716585337,1.2093215137720108,1.3269920833408833,539.5584778953344,0.4,28,moderate_abatement,JUSTICE_GSA
